category,price_e_tax,price_i_tax,tax,quantity,upc,reviews
Nonfiction,37.80,37.80,0.00,In stock (14 available),16ef91b9d827859c,0
Nonfiction,49.32,49.32,0.00,In stock (14 available),a80f66b254fe9eb3,0
Sequential Art,32.01,32.01,0.00,In stock (14 available),bf68dcb5fad3cc8c,0
Food and Drink,28.01,28.01,0.00,In stock (14 available),999912e63a3262ae,0
Food and Drink,50.62,50.62,0.00,In stock (14 available),0e0da9192a025efc,0
Fiction,17.03,17.03,0.00,In stock (14 available),9b65f676984c9f0c,0
Sequential Art,48.80,48.80,0.00,In stock (14 available),ffdc825785c0ede8,0
Young Adult,58.14,58.14,0.00,In stock (14 available),41164b8ac02a2c42,0
Add a comment,34.20,34.20,0.00,In stock (14 available),1fbb5f786e53a0ce,0
Default,51.48,51.48,0.00,In stock (14 available),ad41c24ccac0c7ce,0
Historical,29.87,29.87,0.00,In stock (14 available),39861fc1c0845d15,0
Sequential Art,10.90,10.90,0.00,In stock (14 available),5319169a72714c62,0
Nonfiction,56.37,56.37,0.00,In stock (14 available),cf1aa2fc02a7d1e0,0
Mystery,48.35,48.35,0.00,In stock (14 available),4416c474713ec1f5,0
Mystery,16.73,16.73,0.00,In stock (14 available),63ee5bc46066a8a8,0
Add a comment,56.48,56.48,0.00,In stock (14 available),c1379d3744f1dd2c,0
Add a comment,40.79,40.79,0.00,In stock (14 available),1ad06aed9349af46,0
Fiction,39.72,39.72,0.00,In stock (14 available),8682c03de6a844ff,0
History,14.58,14.58,0.00,In stock (14 available),d5e0526e1ab682a3,0
Add a comment,55.51,55.51,0.00,In stock (14 available),01a177623cce9596,0
History,21.80,21.80,0.00,In stock (14 available),6e8e5626ac4d279e,0
Default,13.33,13.33,0.00,In stock (13 available),ac5e0d3938caf686,0
Fantasy,38.73,38.73,0.00,In stock (13 available),2f0213137a80d485,0
Add a comment,37.86,37.86,0.00,In stock (13 available),44d97b6707dae3f0,0
Food and Drink,11.53,11.53,0.00,In stock (13 available),8bbd7df8a324f31d,0
Nonfiction,27.06,27.06,0.00,In stock (13 available),4be9d1910f8a4e80,0
Womens Fiction,13.86,13.86,0.00,In stock (12 available),077b635ff2afc578,0
Science,37.55,37.55,0.00,In stock (12 available),148715df5a02ea5e,0
Fantasy,32.30,32.30,0.00,In stock (12 available),4a7a25be293ad678,0
Fiction,46.29,46.29,0.00,In stock (12 available),ce1ae197ada2aec4,0
Add a comment,26.20,26.20,0.00,In stock (12 available),14e44163678e24dc,0
Nonfiction,33.26,33.26,0.00,In stock (12 available),582a21a1dbbef3cf,0
Add a comment,59.15,59.15,0.00,In stock (12 available),3063c7e95d0bf76f,0
Psychology,39.43,39.43,0.00,In stock (12 available),235fa48eeed11d82,0
Young Adult,14.44,14.44,0.00,In stock (12 available),f732d7d18a91d2ba,0
Fiction,56.54,56.54,0.00,In stock (12 available),c6ca293d4810e0d5,0
Nonfiction,59.90,59.90,0.00,In stock (12 available),54fc03f1e1d355db,0
Add a comment,11.88,11.88,0.00,In stock (12 available),64fd010bf8d15096,0
Young Adult,48.05,48.05,0.00,In stock (12 available),b63ea3f7a57ae099,0
Nonfiction,21.21,21.21,0.00,In stock (12 available),f40fea200e0c644f,0
Default,49.67,49.67,0.00,In stock (12 available),ebf81a62e4798fd1,0
Business,43.14,43.14,0.00,In stock (12 available),8976d9161c027142,0
Horror,36.97,36.97,0.00,In stock (12 available),b8d7b3f5c7a95d65,0
Mystery,26.80,26.80,0.00,In stock (12 available),abdd91e96515a617,0
Add a comment,15.71,15.71,0.00,In stock (12 available),81ef44fcc5f454df,0
Young Adult,54.65,54.65,0.00,In stock (12 available),db84624b151cbe06,0
Mystery,54.36,54.36,0.00,In stock (12 available),e7fe3bf2768602cf,0
Mystery,35.28,35.28,0.00,In stock (12 available),c039f5aceb093537,0
Historical Fiction,20.55,20.55,0.00,In stock (12 available),9546d537fbf99eb6,0
Default,58.32,58.32,0.00,In stock (12 available),b978c9852cde91bd,0
Mystery,11.84,11.84,0.00,In stock (12 available),bddc6fd036eb6279,0
Nonfiction,41.46,41.46,0.00,In stock (12 available),c6a29d6df8de968c,0
Food and Drink,20.10,20.10,0.00,In stock (12 available),76319fe9d8b465a3,0
Politics,56.86,56.86,0.00,In stock (12 available),3968e3fbf4695d7c,0
Default,56.51,56.51,0.00,In stock (12 available),6983328f15506cb9,0
Romance,40.83,40.83,0.00,In stock (12 available),df7e628bad5782b4,0
Horror,48.64,48.64,0.00,In stock (12 available),d069086944f2e330,0
Mystery,59.48,59.48,0.00,In stock (12 available),49b24c6a41b82bd2,0
Historical Fiction,39.01,39.01,0.00,In stock (12 available),63343e287971bb0c,0
Food and Drink,38.77,38.77,0.00,In stock (12 available),a4eef523118805ef,0
Default,48.39,48.39,0.00,In stock (11 available),515cb8fcafb1ad98,0
Mystery,27.26,27.26,0.00,In stock (11 available),6159d8b187831770,0
Nonfiction,11.68,11.68,0.00,In stock (11 available),985991708c47003e,0
Fiction,59.45,59.45,0.00,In stock (11 available),437d8dea9272d0a9,0
Business,21.00,21.00,0.00,In stock (11 available),1c584f82a7a1c4f0,0
Romance,53.98,53.98,0.00,In stock (11 available),cf62fa272b5f0fa3,0
Science Fiction,48.74,48.74,0.00,In stock (11 available),f435aa99d864077d,0
Biography,21.15,21.15,0.00,In stock (11 available),b06599b108e83f98,0
Mystery,13.71,13.71,0.00,In stock (11 available),05a61a3bd8ca4149,0
Romance,47.67,47.67,0.00,In stock (11 available),b783ce08802cd1d1,0
Fiction,13.34,13.34,0.00,In stock (11 available),47e1b2d43f709995,0
Nonfiction,16.89,16.89,0.00,In stock (11 available),28b2df9fadc9f07e,0
Autobiography,27.18,27.18,0.00,In stock (11 available),5569c3fea112718e,0
Historical Fiction,17.28,17.28,0.00,In stock (11 available),bade9943ee01b63f,0
Fiction,45.14,45.14,0.00,In stock (11 available),469508882dfc1991,0
Autobiography,40.85,40.85,0.00,In stock (11 available),825d6c44da3ca5a6,0
Womens Fiction,20.46,20.46,0.00,In stock (11 available),20dc4f1ac5d4fd9c,0
Psychology,56.27,56.27,0.00,In stock (11 available),ce8666d9b42fc9a0,0
Womens Fiction,48.49,48.49,0.00,In stock (11 available),b5953ca1f8a0b8d7,0
Young Adult,51.34,51.34,0.00,In stock (11 available),c65c25d990fc7025,0
Fiction,16.34,16.34,0.00,In stock (11 available),f608c903c451f387,0
Food and Drink,20.50,20.50,0.00,In stock (11 available),2587c54f5530dafc,0
Business,21.59,21.59,0.00,In stock (11 available),816180220e8cb419,0
Science Fiction,21.36,21.36,0.00,In stock (11 available),2c34f9432069b52b,0
Default,20.88,20.88,0.00,In stock (11 available),bb967277222e689c,0
Nonfiction,19.53,19.53,0.00,In stock (11 available),2b69dec0193511d9,0
Romance,14.75,14.75,0.00,In stock (11 available),40c4bf520c17de54,0
Fiction,48.48,48.48,0.00,In stock (11 available),a9d7b75461084a26,0
Nonfiction,24.57,24.57,0.00,In stock (10 available),34669b2e9d407d3a,0
Health,49.71,49.71,0.00,In stock (10 available),96aa539bfd4c07e2,0
Add a comment,48.27,48.27,0.00,In stock (9 available),ab60e6f5a63e1cfb,0
Add a comment,58.05,58.05,0.00,In stock (9 available),d1848064c54e01c7,0
Default,58.87,58.87,0.00,In stock (9 available),4fd0a2a350f016e6,0
Default,11.82,11.82,0.00,In stock (9 available),0967effecd292a86,0
Fiction,28.03,28.03,0.00,In stock (9 available),903a9f8090104c2c,0
Default,44.05,44.05,0.00,In stock (9 available),4b50fb1359ebf35d,0
Food and Drink,12.34,12.34,0.00,In stock (9 available),65cfc9f242c2984a,0
Default,16.68,16.68,0.00,In stock (9 available),33396269bcce166f,0
Science,55.91,55.91,0.00,In stock (9 available),ca74f2e3c35a3e77,0
Religion,24.57,24.57,0.00,In stock (9 available),3f25a2fedae191cc,0
Health,52.98,52.98,0.00,In stock (9 available),f9c87ccb2bc4853b,0
Young Adult,54.40,54.40,0.00,In stock (9 available),e77594ece9b9d1fe,0
Novels,54.81,54.81,0.00,In stock (9 available),0e095ed785af7e43,0
Childrens,25.08,25.08,0.00,In stock (9 available),913e7109cec0cb4c,0
Default,10.41,10.41,0.00,In stock (9 available),ee6c67859d70186b,0
Default,47.44,47.44,0.00,In stock (9 available),6baac632f7711e26,0
Spirituality,20.91,20.91,0.00,In stock (9 available),8fab4c4f6f82a4ce,0
Sequential Art,33.95,33.95,0.00,In stock (9 available),97187f5cf0385da3,0
Humor,43.68,43.68,0.00,In stock (9 available),7e9068872228c474,0
Young Adult,33.23,33.23,0.00,In stock (9 available),e845d305f64154f1,0
Nonfiction,35.92,35.92,0.00,In stock (9 available),7186241e043de5dc,0
Art,48.63,48.63,0.00,In stock (9 available),d6d9ffea95f2f8bf,0
Fantasy,56.63,56.63,0.00,In stock (9 available),63d5f1651880dcea,0
Add a comment,50.49,50.49,0.00,In stock (9 available),c181ca8eabe7d18c,0
Add a comment,35.79,35.79,0.00,In stock (9 available),61cf7eb9d2cd8bb0,0
Nonfiction,34.06,34.06,0.00,In stock (8 available),e77033ce559947f7,0
Nonfiction,17.76,17.76,0.00,In stock (8 available),04f6c929888f4f11,0
Nonfiction,39.36,39.36,0.00,In stock (8 available),b69c852e7e3956af,0
Travel,36.94,36.94,0.00,In stock (8 available),1809259a5a5f1d8d,0
Default,43.62,43.62,0.00,In stock (8 available),e0bdd79c7304ee8d,0
Art,43.02,43.02,0.00,In stock (8 available),3eec766dda26fa64,0
Nonfiction,28.45,28.45,0.00,In stock (8 available),5a0d2e9284004266,0
Default,41.39,41.39,0.00,In stock (8 available),9afd00e81d6208e6,0
Fiction,51.15,51.15,0.00,In stock (8 available),4f283dfcbeccc0d4,0
Short Stories,35.88,35.88,0.00,In stock (8 available),1bba4b1ba23ed2d6,0
Business,36.91,36.91,0.00,In stock (8 available),a2308a936e898d48,0
Young Adult,28.93,28.93,0.00,In stock (8 available),331c26103d885cae,0
Nonfiction,38.89,38.89,0.00,In stock (8 available),a2475a245c9907c4,0
Suspense,58.33,58.33,0.00,In stock (8 available),e46a164cf310fd7d,0
Christian Fiction,39.67,39.67,0.00,In stock (8 available),bee6e93e9976f4fa,0
Sequential Art,14.10,14.10,0.00,In stock (8 available),aeb51dfbe8aeec59,0
Nonfiction,21.82,21.82,0.00,In stock (8 available),52fc458ffc756faf,0
Philosophy,54.21,54.21,0.00,In stock (8 available),d56d0710668bb39c,0
Music,31.19,31.19,0.00,In stock (8 available),4a823d80aa30dbb0,0
Poetry,53.64,53.64,0.00,In stock (8 available),c0fc0cd215ee1724,0
Young Adult,36.39,36.39,0.00,In stock (8 available),9a7291b89bd5445c,0
Fiction,58.54,58.54,0.00,In stock (8 available),bff270fe9c86a5a9,0
Nonfiction,29.48,29.48,0.00,In stock (8 available),4729afff3bea0f0a,0
Nonfiction,25.06,25.06,0.00,In stock (8 available),4d3a4c7b442a9a4e,0
Nonfiction,12.55,12.55,0.00,In stock (8 available),044534b0b28b4e87,0
Poetry,29.04,29.04,0.00,In stock (8 available),c44c5e1425475206,0
Default,40.72,40.72,0.00,In stock (8 available),29af1a2566c4e36e,0
Music,45.05,45.05,0.00,In stock (8 available),39eefec3a8498dde,0
Philosophy,47.13,47.13,0.00,In stock (8 available),0cf57cb49272fd37,0
Default,20.22,20.22,0.00,In stock (8 available),bd26e8a79a856c31,0
Default,56.48,56.48,0.00,In stock (8 available),0ab4b35dcffcffd1,0
Nonfiction,44.21,44.21,0.00,In stock (8 available),bbf1ea50be8008ab,0
Fiction,21.96,21.96,0.00,In stock (8 available),0bfdef63285d3019,0
Poetry,40.45,40.45,0.00,In stock (8 available),b7870fa6dc088fbb,0
Art,10.29,10.29,0.00,In stock (8 available),8a150fd8ff5d7686,0
Default,52.86,52.86,0.00,In stock (8 available),d48c1369927ebef1,0
Young Adult,55.65,55.65,0.00,In stock (8 available),df6a7c43faa6732b,0
Default,43.64,43.64,0.00,In stock (8 available),e049d44c4f1cf1b2,0
Science,28.41,28.41,0.00,In stock (8 available),0c11e2d068768dbb,0
Default,37.51,37.51,0.00,In stock (8 available),4dbd54d9e36c9566,0
History,11.45,11.45,0.00,In stock (8 available),7f5157bf53065d36,0
Nonfiction,19.22,19.22,0.00,In stock (8 available),77e9ea355bd8ae57,0
Nonfiction,56.91,56.91,0.00,In stock (8 available),04e3de7ac35ec5cd,0
Nonfiction,55.06,55.06,0.00,In stock (8 available),15ebd83e53d0391b,0
Nonfiction,13.20,13.20,0.00,In stock (8 available),fef91502cbacf23a,0
Food and Drink,53.63,53.63,0.00,In stock (8 available),b1a227b7609ff263,0
History,44.48,44.48,0.00,In stock (8 available),f16c2edb2a603f92,0
Self Help,12.08,12.08,0.00,In stock (7 available),88ec621893e595d0,0
Default,22.14,22.14,0.00,In stock (7 available),b46d022080543144,0
Mystery,25.37,25.37,0.00,In stock (7 available),9735c969c652dd89,0
Spirituality,46.33,46.33,0.00,In stock (7 available),48cb52d78c992487,0
Travel,37.33,37.33,0.00,In stock (7 available),a94350ee74deaa07,0
Humor,25.55,25.55,0.00,In stock (7 available),4242cc3d0437db12,0
Default,34.72,34.72,0.00,In stock (7 available),4a0b78598b42897a,0
Childrens,35.96,35.96,0.00,In stock (7 available),0ff9d10864db8364,0
Art,41.14,41.14,0.00,In stock (7 available),9147c5251cc99eb1,0
Science,10.01,10.01,0.00,In stock (7 available),0345872b14f9e774,0
Default,36.05,36.05,0.00,In stock (7 available),a8dbf1c6b41b885a,0
Default,49.03,49.03,0.00,In stock (7 available),f935412970c9f58f,0
Add a comment,16.24,16.24,0.00,In stock (7 available),47f4fd3e8e1dac05,0
Biography,39.55,39.55,0.00,In stock (7 available),57f85720e54d6442,0
Add a comment,35.67,35.67,0.00,In stock (7 available),7a10353c9c54cf7c,0
Historical Fiction,16.62,16.62,0.00,In stock (7 available),24933c712f0bca2f,0
Fiction,42.78,42.78,0.00,In stock (7 available),d250657f0ebc5d73,0
Mystery,52.30,52.30,0.00,In stock (7 available),20789fb17b423c4c,0
Art,32.34,32.34,0.00,In stock (7 available),4b8fa561a1e52d1c,0
Default,33.17,33.17,0.00,In stock (7 available),5fbd03b1ac0a0e69,0
Add a comment,20.12,20.12,0.00,In stock (7 available),ba047a636b7d3793,0
Default,20.90,20.90,0.00,In stock (7 available),8776181be110838a,0
Romance,20.90,20.90,0.00,In stock (7 available),bd087cf6a846db75,0
Fiction,40.20,40.20,0.00,In stock (7 available),7ffebdd1d5148aef,0
Childrens,52.87,52.87,0.00,In stock (7 available),9639e89d20228e6e,0
Business,51.74,51.74,0.00,In stock (7 available),8486f61aa81a3daa,0
Childrens,34.41,34.41,0.00,In stock (7 available),31c56c4d0fe19340,0
Childrens,32.38,32.38,0.00,In stock (7 available),68008abf6409dfde,0
Young Adult,50.35,50.35,0.00,In stock (7 available),746029796363aa51,0
Food and Drink,11.38,11.38,0.00,In stock (7 available),924438fc6cbec836,0
Womens Fiction,43.58,43.58,0.00,In stock (7 available),725cd8d23d78cdca,0
Fiction,49.67,49.67,0.00,In stock (7 available),dac4b5847454fd9b,0
Christian Fiction,28.77,28.77,0.00,In stock (7 available),b6670507e85b30e6,0
Default,13.22,13.22,0.00,In stock (7 available),40cdcbb7692fd408,0
Poetry,51.17,51.17,0.00,In stock (7 available),b74ee891e2a6dd69,0
Fantasy,39.61,39.61,0.00,In stock (7 available),4c82371b8cd02d4d,0
Add a comment,57.43,57.43,0.00,In stock (7 available),68407606544d6f22,0
Food and Drink,46.01,46.01,0.00,In stock (7 available),2a9fcb3382d351c8,0
Food and Drink,28.25,28.25,0.00,In stock (7 available),eff5710404e2ff78,0
Add a comment,37.05,37.05,0.00,In stock (7 available),c00bc29a678a6efb,0
Sequential Art,19.57,19.57,0.00,In stock (7 available),de6d7645f192d517,0
Nonfiction,45.13,45.13,0.00,In stock (7 available),2e40333991f56f45,0
Nonfiction,46.64,46.64,0.00,In stock (7 available),4e78f06160b717ac,0
Fantasy,12.16,12.16,0.00,In stock (7 available),4fa75fc6829431ca,0
Mystery,20.89,20.89,0.00,In stock (7 available),4e980425468708da,0
Christian Fiction,17.97,17.97,0.00,In stock (7 available),4807043b8218e9ce,0
Music,52.60,52.60,0.00,In stock (7 available),4781b6bfd6f7a2c5,0
Christian,25.77,25.77,0.00,In stock (7 available),a322361a37a78d3d,0
Biography,48.19,48.19,0.00,In stock (7 available),5b546a46a86a9d8c,0
Philosophy,29.93,29.93,0.00,In stock (7 available),6b52904b2ab91bf6,0
Travel,44.34,44.34,0.00,In stock (7 available),cc1936a9f4e93477,0
History,52.40,52.40,0.00,In stock (7 available),6c7fa6844380f50a,0
Fantasy,44.81,44.81,0.00,In stock (7 available),d1378a0ad06ff979,0
Default,57.84,57.84,0.00,In stock (6 available),5ba3d703d1ae0c1d,0
History,39.67,39.67,0.00,In stock (6 available),774fa432bd7d9c47,0
Default,55.02,55.02,0.00,In stock (6 available),fd364afd082f5446,0
Mystery,24.80,24.80,0.00,In stock (6 available),2da5edf8b5776c9a,0
Nonfiction,59.45,59.45,0.00,In stock (6 available),60376aa71be66083,0
Default,31.58,31.58,0.00,In stock (6 available),2efa5a839e62b1bd,0
Add a comment,43.27,43.27,0.00,In stock (6 available),d326e189b1210916,0
Historical Fiction,37.34,37.34,0.00,In stock (6 available),e6635f5b0a2c78db,0
Default,17.80,17.80,0.00,In stock (6 available),72b5355dda190b6a,0
Travel,30.54,30.54,0.00,In stock (6 available),48736df57e7bec9f,0
Add a comment,18.77,18.77,0.00,In stock (6 available),d33824cb93ecab6f,0
Add a comment,46.85,46.85,0.00,In stock (6 available),2bc80eba94950873,0
Historical,15.79,15.79,0.00,In stock (6 available),eb7459e0c570251d,0
Default,10.27,10.27,0.00,In stock (6 available),cb17945cb90b7837,0
Poetry,15.42,15.42,0.00,In stock (6 available),3d250ab0f12be445,0
Food and Drink,59.92,59.92,0.00,In stock (6 available),6478ccb4416e6a5d,0
Young Adult,50.96,50.96,0.00,In stock (6 available),2a1b3d967cda1da2,0
Default,30.60,30.60,0.00,In stock (6 available),8d8e9f9b8730eb25,0
Add a comment,19.27,19.27,0.00,In stock (6 available),720c36b2bee4692e,0
Default,46.58,46.58,0.00,In stock (6 available),6d235933670503d9,0
Add a comment,48.51,48.51,0.00,In stock (6 available),f38f37ed934d84b2,0
Fiction,19.02,19.02,0.00,In stock (6 available),7a2b51f69e81c722,0
Mystery,38.38,38.38,0.00,In stock (6 available),6958de044cb28a84,0
Nonfiction,49.98,49.98,0.00,In stock (6 available),fe0f34ebed689381,0
Self Help,46.49,46.49,0.00,In stock (6 available),e792c0969cefe1b8,0
Thriller,18.32,18.32,0.00,In stock (6 available),012170e4fc87ace0,0
Nonfiction,42.14,42.14,0.00,In stock (6 available),384c7d41d5ffe9d1,0
Add a comment,56.59,56.59,0.00,In stock (6 available),56a34d0cec11d6b0,0
Sequential Art,20.96,20.96,0.00,In stock (6 available),97258f576d4bb672,0
Fiction,40.32,40.32,0.00,In stock (6 available),4e3b183180e2a992,0
Sequential Art,36.39,36.39,0.00,In stock (6 available),6e06d0f00f6da20f,0
History,58.55,58.55,0.00,In stock (6 available),f3c70d296ec796c4,0
Food and Drink,39.61,39.61,0.00,In stock (6 available),faf841f81c52638b,0
Psychology,21.30,21.30,0.00,In stock (6 available),46cb43c2ab133ccc,0
Travel,56.88,56.88,0.00,In stock (6 available),9e60929f521fa280,0
Historical Fiction,32.97,32.97,0.00,In stock (5 available),2e5b4ff08a75fd02,0
Young Adult,47.31,47.31,0.00,In stock (5 available),e75f3ae1da1cc652,0
Nonfiction,48.67,48.67,0.00,In stock (5 available),759ee7d059b1beb8,0
Young Adult,41.73,41.73,0.00,In stock (5 available),60369d96b7b80869,0
Default,53.68,53.68,0.00,In stock (5 available),163d89116179c33f,0
Young Adult,14.64,14.64,0.00,In stock (5 available),3a7d54a264d9f33e,0
Music,38.40,38.40,0.00,In stock (5 available),bc209a900101f28d,0
Classics,15.08,15.08,0.00,In stock (5 available),abbb492978ff656d,0
Add a comment,30.57,30.57,0.00,In stock (5 available),2e4fc5eacceec12c,0
Fantasy,57.74,57.74,0.00,In stock (5 available),e0b3a679b83caccc,0
Food and Drink,11.05,11.05,0.00,In stock (5 available),f701fae56b645ef7,0
Classics,28.58,28.58,0.00,In stock (5 available),93379e3a2072a01b,0
History,42.91,42.91,0.00,In stock (5 available),0d210d2448c3018f,0
Fiction,24.73,24.73,0.00,In stock (5 available),dfd9ff1f343cdaff,0
History,55.91,55.91,0.00,In stock (5 available),c4589ee5977a47be,0
Science,13.76,13.76,0.00,In stock (5 available),3213b1f13f5f0f7c,0
Fiction,45.56,45.56,0.00,In stock (5 available),ad84f18659e6bfe2,0
Default,47.22,47.22,0.00,In stock (5 available),3661360c99719414,0
Fantasy,56.00,56.00,0.00,In stock (5 available),a2a9f76339d21ab1,0
Fiction,44.58,44.58,0.00,In stock (5 available),fe7210553d56c097,0
Default,34.50,34.50,0.00,In stock (5 available),fec06f52054ea900,0
Young Adult,11.33,11.33,0.00,In stock (5 available),c4182bdb53e2459a,0
Poetry,38.77,38.77,0.00,In stock (5 available),b228042c088b1913,0
Default,11.83,11.83,0.00,In stock (5 available),b716233fcb6877e6,0
Fantasy,45.51,45.51,0.00,In stock (5 available),84126312e2431a09,0
Young Adult,41.81,41.81,0.00,In stock (5 available),50d5a7b861ed1c54,0
Nonfiction,25.15,25.15,0.00,In stock (5 available),1dba84766a5e87b8,0
Fiction,34.22,34.22,0.00,In stock (5 available),84bb29c53592ac40,0
Default,16.23,16.23,0.00,In stock (5 available),59a8ae019b64f2a7,0
Default,11.48,11.48,0.00,In stock (5 available),2973d38c2fbd7a5c,0
Horror,23.37,23.37,0.00,In stock (5 available),e958ae92f328c181,0
Science,16.28,16.28,0.00,In stock (5 available),6036239d2ab349b7,0
Nonfiction,31.63,31.63,0.00,In stock (5 available),a4ce39a3720cd679,0
Food and Drink,24.91,24.91,0.00,In stock (5 available),12a90b90283b2e6d,0
Childrens,22.54,22.54,0.00,In stock (5 available),81c68492ccd72941,0
Young Adult,23.63,23.63,0.00,In stock (5 available),5e1a88d248599768,0
Academic,13.12,13.12,0.00,In stock (5 available),7093cf549cd2e7de,0
Fiction,59.98,59.98,0.00,In stock (5 available),07e6810fd3236bda,0
Thriller,31.49,31.49,0.00,In stock (5 available),8dde2ff3f6fcc0a3,0
Young Adult,15.52,15.52,0.00,In stock (5 available),44f545727e704187,0
Young Adult,48.13,48.13,0.00,In stock (5 available),45045146dbf7b009,0
Default,38.13,38.13,0.00,In stock (5 available),7284d85428305f5a,0
Default,36.55,36.55,0.00,In stock (5 available),d219d4e325e6f204,0
Default,23.32,23.32,0.00,In stock (5 available),6c49258724f11770,0
Sequential Art,16.33,16.33,0.00,In stock (5 available),3fd83dcf37bf1bc0,0
Science Fiction,32.42,32.42,0.00,In stock (5 available),3fc124f59f3068e4,0
Default,16.96,16.96,0.00,In stock (5 available),630e766f0a1987dd,0
Add a comment,22.37,22.37,0.00,In stock (5 available),b28c7d07afa7063b,0
Add a comment,42.27,42.27,0.00,In stock (5 available),75cc85cdbe9ad46b,0
Default,38.70,38.70,0.00,In stock (5 available),d5ad4c92d8bf26c9,0
Horror,35.63,35.63,0.00,In stock (5 available),e46b1074b99ac4b6,0
Fiction,58.00,58.00,0.00,In stock (5 available),94bb629a3f6dd00b,0
Sequential Art,52.41,52.41,0.00,In stock (5 available),1c0a38899c82b60a,0
Nonfiction,32.35,32.35,0.00,In stock (5 available),bcf567421c581f0a,0
Philosophy,20.75,20.75,0.00,In stock (5 available),429b4a811bef386c,0
Poetry,17.49,17.49,0.00,In stock (5 available),b54d7416bb445989,0
Default,34.13,34.13,0.00,In stock (5 available),ad5e078beceaeb4a,0
Autobiography,58.81,58.81,0.00,In stock (5 available),612369a5947a012e,0
Young Adult,10.00,10.00,0.00,In stock (5 available),f36d24c309e87e5b,0
History,51.22,51.22,0.00,In stock (5 available),add33db6ff80db24,0
Default,58.59,58.59,0.00,In stock (5 available),d9290e99f189ce84,0
Romance,31.30,31.30,0.00,In stock (5 available),cf3b86489890b9f2,0
Add a comment,46.42,46.42,0.00,In stock (5 available),03cbb67c0f990d87,0
Fantasy,17.21,17.21,0.00,In stock (5 available),f2c8f4b4c94d5c5c,0
Add a comment,10.79,10.79,0.00,In stock (5 available),89a89e76f3516357,0
Default,52.35,52.35,0.00,In stock (4 available),a8f4577a48023344,0
Default,27.88,27.88,0.00,In stock (4 available),d4de23aa98acc65b,0
Classics,50.26,50.26,0.00,In stock (4 available),6053ddf69c967d5f,0
Romance,59.99,59.99,0.00,In stock (4 available),9cc207168a03470d,0
Historical Fiction,28.32,28.32,0.00,In stock (4 available),011674f4a3834b8d,0
Nonfiction,38.71,38.71,0.00,In stock (4 available),6a57286a8890d8c5,0
Default,29.85,29.85,0.00,In stock (4 available),6d2f70d9424f41a1,0
Classics,14.82,14.82,0.00,In stock (4 available),6587f46697fc4443,0
Nonfiction,16.81,16.81,0.00,In stock (4 available),45033bdf3d9ed158,0
Nonfiction,28.23,28.23,0.00,In stock (4 available),c65ee14957c0fa5c,0
Fantasy,52.11,52.11,0.00,In stock (4 available),ff2dffba388d9922,0
Sequential Art,27.88,27.88,0.00,In stock (4 available),df53c2948b32bde3,0
Thriller,59.71,59.71,0.00,In stock (4 available),9c4d061c1e2fe6bf,0
Fantasy,46.08,46.08,0.00,In stock (4 available),8930013d06942df1,0
Womens Fiction,13.73,13.73,0.00,In stock (4 available),31f5bbf4974d29c9,0
Womens Fiction,48.39,48.39,0.00,In stock (4 available),38199c5d7da0c0ef,0
Fantasy,49.45,49.45,0.00,In stock (4 available),ae884ac655d6ee3e,0
Default,19.67,19.67,0.00,In stock (4 available),5de4baa88061a77a,0
Music,12.36,12.36,0.00,In stock (4 available),2ba5ccc84d35006c,0
Music,20.02,20.02,0.00,In stock (4 available),3a95f5a2df4ff921,0
